Employee_ID,First_Name,Last_Name,Age,Department_Region,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work,Department,Region,Errors
EMP1069,Heidi,Miller,,DevOps-Illinois,inactive,8/28/2024,113479.83,heidi.miller@example.com,4892673898,good,FALSE,DevOps,Illinois,Age is required; Invalid Age; Invalid Join_Date
EMP1070,Charlie,Johnson,40,Finance-California,active,9/16/2024,94636.3,charlie.johnson@example.com,7563410855,poor,FALSE,Finance,California,Invalid Join_Date
EMP1072,Frank,Smith,,Cloud Tech-New York,active,4/18/2021,76812.47,frank.smith@example.com,5200894345,poor,FALSE,Cloud Tech,New York,Age is required; Invalid Age; Invalid Join_Date
EMP1073,David,Johnson,25,Finance-Florida,inactive,1/16/2023,82614.7,david.johnson@example.com,8105485100,average,TRUE,Finance,Florida,Invalid Join_Date
EMP1074,Grace,Jones,40,Sales-Nevada,active,10/20/2024,111645.97,grace.jones@example.com,7490753997,good,TRUE,Sales,Nevada,Invalid Join_Date
EMP1075,Heidi,Johnson,25,HR-California,inactive,10/13/2024,112414.91,heidi.johnson@example.com,9354492682,good,FALSE,HR,California,Invalid Join_Date
EMP1076,David,Brown,40,Admin-California,inactive,9/21/2022,52031.74,david.brown@example.com,1589357125,good,TRUE,Admin,California,Invalid Join_Date
EMP1077,Grace,Brown,30,Finance-New York,pending,12/29/2022,51887.65,grace.brown@example.com,6110627370,good,FALSE,Finance,New York,Invalid Join_Date
EMP1079,Grace,Brown,35,Admin-Florida,inactive,11/22/2021,103286.08,grace.brown@example.com,6776228276,average,FALSE,Admin,Florida,Invalid Join_Date
EMP1080,Grace,Davis,35,Cloud Tech-Florida,active,3/14/2024,87759.33,grace.davis@example.com,2881377027,average,FALSE,Cloud Tech,Florida,Invalid Join_Date
EMP1081,Frank,Brown,30,DevOps-Texas,pending,3/23/2020,102796.32,frank.brown@example.com,5196115939,good,FALSE,DevOps,Texas,Invalid Join_Date
EMP1082,David,Jones,25,Sales-New York,active,9/15/2020,83149.27,david.jones@example.com,8215454469,poor,TRUE,Sales,New York,Invalid Join_Date
EMP1084,Bob,Davis,30,HR-Texas,pending,2/22/2020,115022.1,bob.davis@example.com,185106793,good,FALSE,HR,Texas,Invalid Join_Date
EMP1085,Grace,Williams,40,DevOps-New York,active,4/27/2023,98343.01,grace.williams@example.com,9756792286,poor,FALSE,DevOps,New York,Invalid Join_Date
EMP1086,Bob,Miller,35,DevOps-Illinois,active,6/18/2024,118869.1,bob.miller@example.com,7725199662,excellent,TRUE,DevOps,Illinois,Invalid Join_Date
EMP1087,Frank,Smith,,Finance-Nevada,inactive,5/21/2020,85417.26,frank.smith@example.com,6580741208,good,TRUE,Finance,Nevada,Age is required; Invalid Age; Invalid Join_Date
EMP1088,Grace,Brown,40,Cloud Tech-Florida,inactive,7/25/2023,112410.25,grace.brown@example.com,4818139889,good,TRUE,Cloud Tech,Florida,Invalid Join_Date
EMP1089,Charlie,Johnson,40,Admin-Nevada,pending,8/25/2023,68905.77,charlie.johnson@example.com,9837801819,average,FALSE,Admin,Nevada,Invalid Join_Date
EMP1091,Bob,Brown,35,Finance-New York,inactive,3/13/2023,92723.22,bob.brown@example.com,9070562607,excellent,TRUE,Finance,New York,Invalid Join_Date
EMP1093,Eva,Miller,,DevOps-California,pending,1/21/2020,86163.91,eva.miller@example.com,2412462094,average,TRUE,DevOps,California,Age is required; Invalid Age; Invalid Join_Date
EMP1094,David,Miller,40,Finance-Illinois,active,11/15/2023,83326.52,david.miller@example.com,2004615264,average,TRUE,Finance,Illinois,Invalid Join_Date
EMP1096,Frank,Johnson,40,Sales-Illinois,inactive,5/21/2022,119764.2,frank.johnson@example.com,8861405785,average,FALSE,Sales,Illinois,Invalid Join_Date
EMP1097,Frank,Brown,40,HR-California,inactive,4/17/2021,58445.91,frank.brown@example.com,1706304890,excellent,FALSE,HR,California,Invalid Join_Date
EMP1098,Bob,Miller,,DevOps-New York,active,3/19/2021,101702.33,bob.miller@example.com,3824967182,excellent,FALSE,DevOps,New York,Age is required; Invalid Age; Invalid Join_Date
EMP1099,Eva,Jones,25,Admin-California,active,2022-09-01,N/A,eva.jones@example.com,2582386869,good,FALSE,Admin,California,Invalid Salary
EMP1100,Charlie,Davis,35,Cloud Tech-Texas,pending,8/21/2021,98819.22,charlie.davis@example.com,794200748,good,FALSE,Cloud Tech,Texas,Invalid Join_Date
EMP1101,Heidi,Johnson,25,Cloud Tech-Illinois,inactive,8/19/2022,83509.99,heidi.johnson@example.com,4653984027,average,FALSE,Cloud Tech,Illinois,Invalid Join_Date
EMP1102,Alice,Johnson,35,Finance-Texas,active,3/31/2022,84422.26,alice.johnson@example.com,9141612845,average,FALSE,Finance,Texas,Invalid Join_Date
EMP1103,Alice,Brown,30,Admin-Illinois,inactive,6/23/2020,119574.27,alice.brown@example.com,3985547434,average,TRUE,Admin,Illinois,Invalid Join_Date
EMP1104,Grace,Johnson,,Sales-Illinois,active,2024-07-05,86580.08,grace.johnson@example.com,5379502096,good,TRUE,Sales,Illinois,Age is required; Invalid Age
EMP1106,Bob,Miller,30,DevOps-New York,inactive,9/14/2023,55683.12,bob.miller@example.com,8071569561,poor,TRUE,DevOps,New York,Invalid Join_Date
EMP1108,David,Miller,35,DevOps-California,pending,10/26/2024,81782.19,david.miller@example.com,5319433749,good,FALSE,DevOps,California,Invalid Join_Date
EMP1109,Eva,Davis,,DevOps-New York,inactive,8/23/2020,88119.37,eva.davis@example.com,4793036148,good,TRUE,DevOps,New York,Age is required; Invalid Age; Invalid Join_Date
EMP1111,Eva,Davis,40,Cloud Tech-Florida,pending,9/14/2021,98981.36,eva.davis@example.com,9212493842,good,TRUE,Cloud Tech,Florida,Invalid Join_Date
EMP1112,Heidi,Garcia,40,Cloud Tech-Illinois,active,12/26/2024,80242.01,heidi.garcia@example.com,894870604,good,TRUE,Cloud Tech,Illinois,Invalid Join_Date
EMP1114,Alice,Davis,35,Sales-Texas,active,8/21/2022,86327.47,alice.davis@example.com,3046875062,average,FALSE,Sales,Texas,Invalid Join_Date
EMP1115,Eva,Brown,30,Sales-Florida,pending,7/25/2024,84420.81,eva.brown@example.com,5190361331,average,FALSE,Sales,Florida,Invalid Join_Date
EMP1117,Heidi,Miller,35,DevOps-Florida,pending,3/16/2020,81837.81,heidi.miller@example.com,4317350582,good,TRUE,DevOps,Florida,Invalid Join_Date
EMP1119,Alice,Jones,30,Sales-California,pending,3/29/2024,84894.52,alice.jones@example.com,651207048,excellent,TRUE,Sales,California,Invalid Join_Date
EMP1121,Bob,Jones,25,DevOps-Illinois,active,12/24/2023,61086.47,bob.jones@example.com,9639907675,excellent,TRUE,DevOps,Illinois,Invalid Join_Date
EMP1122,Grace,Johnson,25,Admin-Texas,inactive,8/28/2020,95339.68,grace.johnson@example.com,9915078592,poor,TRUE,Admin,Texas,Invalid Join_Date
EMP1123,Eva,Davis,,DevOps-California,inactive,2024-05-09,83774.97,eva.davis@example.com,1109193927,average,FALSE,DevOps,California,Age is required; Invalid Age
EMP1124,Heidi,Jones,,Admin-Florida,active,2023-12-05,85576.86,heidi.jones@example.com,4567972319,poor,FALSE,Admin,Florida,Age is required; Invalid Age
EMP1126,Eva,Johnson,,Sales-Nevada,inactive,2024-07-11,60401.68,eva.johnson@example.com,2274954507,average,FALSE,Sales,Nevada,Age is required; Invalid Age
EMP1127,Frank,Smith,35,Sales-Illinois,inactive,7/21/2022,115299.66,frank.smith@example.com,9203880652,good,TRUE,Sales,Illinois,Invalid Join_Date
EMP1128,David,Brown,,Finance-New York,inactive,3/30/2020,72272.34,david.brown@example.com,3315377958,average,FALSE,Finance,New York,Age is required; Invalid Age; Invalid Join_Date
EMP1130,Frank,Brown,25,Finance-Texas,pending,7/24/2022,51074.33,frank.brown@example.com,7303379336,excellent,TRUE,Finance,Texas,Invalid Join_Date
EMP1131,Charlie,Jones,25,Finance-California,inactive,6/30/2023,98489.32,charlie.jones@example.com,5636205014,excellent,FALSE,Finance,California,Invalid Join_Date
EMP1132,Frank,Smith,,Finance-California,pending,2024-11-01,112120.71,frank.smith@example.com,812473949,poor,TRUE,Finance,California,Age is required; Invalid Age
EMP1133,Alice,Jones,,Cloud Tech-New York,pending,2023-02-11,114465.04,alice.jones@example.com,334234257,good,FALSE,Cloud Tech,New York,Age is required; Invalid Age
EMP1134,Bob,Davis,40,Cloud Tech-Nevada,pending,11/22/2024,57035.51,bob.davis@example.com,3230241025,poor,TRUE,Cloud Tech,Nevada,Invalid Join_Date
EMP1135,Eva,Jones,25,Cloud Tech-California,active,8/23/2021,75092.43,eva.jones@example.com,1534735527,excellent,TRUE,Cloud Tech,California,Invalid Join_Date
EMP1136,David,Smith,,Finance-Illinois,pending,2024-11-06,62603.98,david.smith@example.com,9611223385,good,FALSE,Finance,Illinois,Age is required; Invalid Age
EMP1137,Grace,Smith,,DevOps-New York,inactive,2023-09-04,60018.24,grace.smith@example.com,5596309937,excellent,FALSE,DevOps,New York,Age is required; Invalid Age
EMP1140,Eva,Garcia,40,HR-New York,inactive,10/13/2024,83824.56,eva.garcia@example.com,7872558776,poor,FALSE,HR,New York,Invalid Join_Date
EMP1141,Frank,Smith,,HR-Nevada,inactive,2/14/2020,118456.11,frank.smith@example.com,4969033372,excellent,TRUE,HR,Nevada,Age is required; Invalid Age; Invalid Join_Date
EMP1143,Eva,Garcia,30,Sales-California,active,7/27/2023,63309.24,eva.garcia@example.com,1214785389,good,FALSE,Sales,California,Invalid Join_Date
EMP1144,Charlie,Garcia,25,DevOps-Nevada,active,9/24/2021,105202.73,charlie.garcia@example.com,7895677664,excellent,TRUE,DevOps,Nevada,Invalid Join_Date
EMP1146,Frank,Williams,,Sales-California,active,2021-10-06,113983.43,frank.williams@example.com,5148881430,excellent,TRUE,Sales,California,Age is required; Invalid Age
EMP1147,Eva,Williams,35,Cloud Tech-Florida,active,10/15/2020,102790.6,eva.williams@example.com,1150835353,good,FALSE,Cloud Tech,Florida,Invalid Join_Date
EMP1148,Grace,Smith,,HR-Texas,inactive,1/29/2020,68512.1,grace.smith@example.com,4439284043,average,FALSE,HR,Texas,Age is required; Invalid Age; Invalid Join_Date
EMP1149,Frank,Garcia,35,Sales-Florida,pending,1/30/2022,57584.23,frank.garcia@example.com,5669078262,average,TRUE,Sales,Florida,Invalid Join_Date
EMP1150,Alice,Williams,,Sales-California,pending,3/29/2021,95335.67,alice.williams@example.com,3373898774,poor,FALSE,Sales,California,Age is required; Invalid Age; Invalid Join_Date
EMP1151,Heidi,Williams,35,DevOps-Florida,active,10/13/2020,53174.28,heidi.williams@example.com,1536637779,average,TRUE,DevOps,Florida,Invalid Join_Date
EMP1153,Grace,Williams,,DevOps-Nevada,active,12/18/2024,79041.92,grace.williams@example.com,6668459089,average,TRUE,DevOps,Nevada,Age is required; Invalid Age; Invalid Join_Date
EMP1154,Heidi,Jones,,Finance-California,active,11/14/2023,75937.1,heidi.jones@example.com,2259999662,excellent,TRUE,Finance,California,Age is required; Invalid Age; Invalid Join_Date
EMP1155,David,Johnson,35,Cloud Tech-Nevada,inactive,1/20/2023,113118.73,david.johnson@example.com,6186371596,average,FALSE,Cloud Tech,Nevada,Invalid Join_Date
EMP1157,David,Johnson,,Cloud Tech-Texas,inactive,5/13/2021,119217.46,david.johnson@example.com,2316433480,poor,FALSE,Cloud Tech,Texas,Age is required; Invalid Age; Invalid Join_Date
EMP1158,David,Smith,25,Sales-New York,pending,3/18/2021,106913.71,david.smith@example.com,7058025661,average,FALSE,Sales,New York,Invalid Join_Date
EMP1159,Charlie,Brown,,Cloud Tech-California,active,9/23/2020,87815.08,charlie.brown@example.com,1286716322,average,TRUE,Cloud Tech,California,Age is required; Invalid Age; Invalid Join_Date
EMP1161,Alice,Smith,30,HR-Texas,active,2/28/2024,79467.24,alice.smith@example.com,7430271692,poor,FALSE,HR,Texas,Invalid Join_Date
EMP1162,Bob,Garcia,40,Finance-California,pending,4/30/2023,57633.78,bob.garcia@example.com,8597779013,poor,TRUE,Finance,California,Invalid Join_Date
EMP1163,Alice,Brown,,HR-Florida,pending,2020-04-03,54257.78,alice.brown@example.com,7546926328,poor,TRUE,HR,Florida,Age is required; Invalid Age
EMP1164,Grace,Johnson,40,DevOps-Texas,inactive,12/29/2023,113679.06,grace.johnson@example.com,6762916031,poor,TRUE,DevOps,Texas,Invalid Join_Date
EMP1165,Bob,Smith,35,Sales-New York,active,9/15/2020,69251.12,bob.smith@example.com,4841376814,poor,TRUE,Sales,New York,Invalid Join_Date
EMP1166,Frank,Garcia,40,Sales-Illinois,inactive,7/18/2022,85388.58,frank.garcia@example.com,1185672437,poor,TRUE,Sales,Illinois,Invalid Join_Date
EMP1167,Bob,Davis,,DevOps-New York,inactive,7/13/2022,112166.37,bob.davis@example.com,701765635,excellent,FALSE,DevOps,New York,Age is required; Invalid Age; Invalid Join_Date
EMP1170,Bob,Garcia,35,Admin-Illinois,active,4/16/2023,116963.72,bob.garcia@example.com,9124186209,average,TRUE,Admin,Illinois,Invalid Join_Date
EMP1172,Eva,Williams,,HR-California,active,3/29/2023,85518.88,eva.williams@example.com,816470899,excellent,FALSE,HR,California,Age is required; Invalid Age; Invalid Join_Date
EMP1173,Heidi,Brown,30,Cloud Tech-California,pending,1/22/2022,58041.97,heidi.brown@example.com,6335331059,poor,TRUE,Cloud Tech,California,Invalid Join_Date
EMP1174,David,Garcia,40,Sales-Illinois,pending,10/14/2023,94988.94,david.garcia@example.com,531312205,good,FALSE,Sales,Illinois,Invalid Join_Date
EMP1176,Alice,Williams,30,Admin-Illinois,pending,3/31/2022,54870.98,alice.williams@example.com,6133155205,good,FALSE,Admin,Illinois,Invalid Join_Date
EMP1179,Charlie,Williams,,Cloud Tech-Nevada,active,2021-11-07,81017.91,charlie.williams@example.com,2419562524,excellent,TRUE,Cloud Tech,Nevada,Age is required; Invalid Age
EMP1180,Heidi,Jones,40,HR-New York,pending,8/21/2020,74162.1,heidi.jones@example.com,7150997682,excellent,FALSE,HR,New York,Invalid Join_Date
EMP1181,Heidi,Davis,,DevOps-California,active,3/27/2021,77668.44,heidi.davis@example.com,8903091435,good,TRUE,DevOps,California,Age is required; Invalid Age; Invalid Join_Date
EMP1182,Alice,Miller,30,HR-New York,active,4/14/2024,67886.37,alice.miller@example.com,3910257431,poor,FALSE,HR,New York,Invalid Join_Date
EMP1183,Alice,Williams,40,DevOps-Florida,active,9/21/2020,76614.52,alice.williams@example.com,6303975244,good,TRUE,DevOps,Florida,Invalid Join_Date
EMP1185,Frank,Jones,,Finance-Illinois,inactive,12/24/2023,94809.92,frank.jones@example.com,8033968526,good,TRUE,Finance,Illinois,Age is required; Invalid Age; Invalid Join_Date
EMP1186,Grace,Johnson,25,HR-New York,pending,7/31/2022,108241.81,grace.johnson@example.com,171302320,excellent,TRUE,HR,New York,Invalid Join_Date
EMP1187,Bob,Davis,40,Cloud Tech-New York,inactive,4/21/2023,78031.49,bob.davis@example.com,2983381673,good,TRUE,Cloud Tech,New York,Invalid Join_Date
EMP1189,David,Miller,35,HR-Nevada,pending,7/27/2024,60338.29,david.miller@example.com,7347156626,excellent,FALSE,HR,Nevada,Invalid Join_Date
EMP1191,Heidi,Williams,40,Sales-Illinois,inactive,10/26/2023,114690.8,heidi.williams@example.com,1498282466,poor,TRUE,Sales,Illinois,Invalid Join_Date
EMP1192,Frank,Smith,35,Admin-Florida,active,8/18/2022,80954.56,frank.smith@example.com,4746897151,good,FALSE,Admin,Florida,Invalid Join_Date
EMP1193,Eva,Davis,,Cloud Tech-California,pending,5/31/2020,71728.55,eva.davis@example.com,7323008575,good,TRUE,Cloud Tech,California,Age is required; Invalid Age; Invalid Join_Date
EMP1195,Grace,Johnson,40,Sales-Illinois,pending,3/25/2020,81481.36,grace.johnson@example.com,1692364586,excellent,FALSE,Sales,Illinois,Invalid Join_Date
EMP1197,Frank,Brown,25,Sales-Nevada,active,3/21/2020,67342.06,frank.brown@example.com,2497243991,good,TRUE,Sales,Nevada,Invalid Join_Date
EMP1198,Heidi,Jones,,Sales-Illinois,active,1/15/2022,76099.64,heidi.jones@example.com,116691835,excellent,FALSE,Sales,Illinois,Age is required; Invalid Age; Invalid Join_Date
EMP1201,Charlie,Garcia,35,Cloud Tech-Illinois,pending,10/16/2020,114172.25,charlie.garcia@example.com,2701168645,good,TRUE,Cloud Tech,Illinois,Invalid Join_Date
EMP1202,Grace,Davis,30,Sales-Nevada,active,9/26/2021,89124.54,grace.davis@example.com,2252237280,excellent,TRUE,Sales,Nevada,Invalid Join_Date
EMP1204,Grace,Brown,,HR-Texas,inactive,9/24/2021,62618.4,grace.brown@example.com,7912141613,excellent,FALSE,HR,Texas,Age is required; Invalid Age; Invalid Join_Date
EMP1207,Charlie,Brown,40,Cloud Tech-Florida,inactive,10/17/2023,100371.0,charlie.brown@example.com,8477596554,poor,TRUE,Cloud Tech,Florida,Invalid Join_Date
EMP1208,Eva,Miller,40,Admin-Illinois,active,9/25/2021,117591.76,eva.miller@example.com,5356690550,good,FALSE,Admin,Illinois,Invalid Join_Date
EMP1210,Grace,Davis,30,Admin-Illinois,active,11/22/2024,67500.22,grace.davis@example.com,5797863049,average,TRUE,Admin,Illinois,Invalid Join_Date
EMP1211,Frank,Davis,,Cloud Tech-Nevada,pending,2024-09-10,58727.44,frank.davis@example.com,5057397690,poor,TRUE,Cloud Tech,Nevada,Age is required; Invalid Age
EMP1212,Charlie,Jones,35,Finance-Illinois,active,8/28/2024,80623.08,charlie.jones@example.com,5671649327,excellent,TRUE,Finance,Illinois,Invalid Join_Date
EMP1213,David,Davis,40,HR-Texas,inactive,4/19/2020,77751.78,david.davis@example.com,9802714871,excellent,FALSE,HR,Texas,Invalid Join_Date
EMP1214,Grace,Williams,25,HR-New York,active,10/14/2021,115157.81,grace.williams@example.com,7178333210,good,FALSE,HR,New York,Invalid Join_Date
EMP1215,Frank,Jones,30,Admin-Texas,inactive,8/26/2024,83071.85,frank.jones@example.com,6025643470,poor,FALSE,Admin,Texas,Invalid Join_Date
EMP1219,David,Davis,30,HR-Florida,active,6/13/2023,74697.12,david.davis@example.com,6904098365,average,TRUE,HR,Florida,Invalid Join_Date
EMP1220,Charlie,Williams,25,Sales-California,active,12/13/2022,88085.74,charlie.williams@example.com,5528993159,excellent,TRUE,Sales,California,Invalid Join_Date
EMP1223,Frank,Brown,30,Cloud Tech-California,pending,11/24/2021,106945.62,frank.brown@example.com,7374605232,average,FALSE,Cloud Tech,California,Invalid Join_Date
EMP1225,Alice,Johnson,35,Admin-Texas,active,12/19/2024,52933.42,alice.johnson@example.com,6756618442,poor,TRUE,Admin,Texas,Invalid Join_Date
EMP1226,Grace,Jones,,Finance-California,active,3/22/2024,95283.03,grace.jones@example.com,8612590471,good,FALSE,Finance,California,Age is required; Invalid Age; Invalid Join_Date
EMP1227,Alice,Miller,35,HR-Texas,inactive,6/13/2022,112264.06,alice.miller@example.com,9277423329,good,FALSE,HR,Texas,Invalid Join_Date
EMP1228,Grace,Smith,35,Admin-Florida,pending,10/15/2022,75714.28,grace.smith@example.com,5912662014,good,TRUE,Admin,Florida,Invalid Join_Date
EMP1229,Eva,Jones,25,DevOps-Florida,active,5/31/2022,92171.73,eva.jones@example.com,7201859625,poor,FALSE,DevOps,Florida,Invalid Join_Date
EMP1230,Eva,Miller,35,Cloud Tech-Texas,inactive,9/15/2023,70694.8,eva.miller@example.com,3013674925,average,TRUE,Cloud Tech,Texas,Invalid Join_Date
EMP1232,Frank,Brown,,Finance-California,pending,2024-08-06,116353.31,frank.brown@example.com,1783099973,poor,TRUE,Finance,California,Age is required; Invalid Age
EMP1233,Grace,Brown,35,Sales-Nevada,pending,11/23/2020,116695.26,grace.brown@example.com,1926764920,good,FALSE,Sales,Nevada,Invalid Join_Date
EMP1234,Heidi,Brown,25,Admin-Texas,active,5/13/2024,95161.4,heidi.brown@example.com,5182606887,excellent,FALSE,Admin,Texas,Invalid Join_Date
EMP1235,Alice,Brown,,Admin-Nevada,inactive,1/29/2022,76040.94,alice.brown@example.com,7189813128,good,TRUE,Admin,Nevada,Age is required; Invalid Age; Invalid Join_Date
EMP1236,Charlie,Miller,,HR-Florida,inactive,8/23/2023,69508.28,charlie.miller@example.com,2087510292,good,FALSE,HR,Florida,Age is required; Invalid Age; Invalid Join_Date
EMP1237,Alice,Miller,30,Finance-Illinois,inactive,2/24/2023,58243.27,alice.miller@example.com,2184011844,average,FALSE,Finance,Illinois,Invalid Join_Date
EMP1239,Bob,Garcia,40,Admin-Nevada,inactive,6/28/2020,106735.93,bob.garcia@example.com,7297585987,average,TRUE,Admin,Nevada,Invalid Join_Date
EMP1240,Frank,Johnson,35,DevOps-Texas,pending,1/15/2023,70325.36,frank.johnson@example.com,3103032431,average,FALSE,DevOps,Texas,Invalid Join_Date
EMP1242,David,Brown,40,Cloud Tech-California,pending,3/18/2023,75823.78,david.brown@example.com,8446267145,average,FALSE,Cloud Tech,California,Invalid Join_Date
